#UF;MUNICIPIO;NOME_FANTASIA;NOME_RAZAO_SOCIAL;NU_CNPJ;CNES;DT_CADASTRO_PJ;CATEGORIA;SUB_CATEGORIA;NU_CNPJ_MANTENEDORA;TP_CLASSIFICACAO
99;NÃO INFORMADO / SEM INFORMAÇÃO;ACG CLINIC;ACG CLINIC LTDA;60259169000192;;07/13/2026 00:00:00.000000;Estabelecimento de Assistência a Saúde;Núcleo de Segurança do Paciente;;
99;NÃO INFORMADO / SEM INFORMAÇÃO;ALMEIDA E CUNHA LABORATORIO DE ANALISES CLINICAS;LABORATORIO ALMEIDA E CUNHA LTDA.;20686310000119;;05/23/2025 00:00:00.000000;Estabelecimento de Assistência a Saúde;Núcleo de Segurança do Paciente;;
99;NÃO INFORMADO / SEM INFORMAÇÃO;CLINICA DR. PAULO GODOI;COSTA E SILVA & GODOI LTDA;37490385000122;;06/08/2026 00:00:00.000000;Estabelecimento de Assistência a Saúde;Núcleo de Segurança do Paciente;;
99;NÃO INFORMADO / SEM INFORMAÇÃO;CLINICA HUMANIZE;CLINICA BASILIO & FURTADO LTDA;60611901000141;;05/09/2026 00:00:00.000000;Ambulatorio;Núcleo de Segurança do Paciente;;
99;NÃO INFORMADO / SEM INFORMAÇÃO;CLINICA MENTE LIVRE;CLINICAMENTE LIVRE LTDA;64705971000110;8431051;08/10/2026 00:00:00.000000;Estabelecimento de Assistência a Saúde;Núcleo de Segurança do Paciente;;
99;NÃO INFORMADO / SEM INFORMAÇÃO;CLINICA UNIVARIZES;CLINICA UNIVARIZES ESTETICA LTDA;50935756000109;5531640;07/09/2026 00:00:00.000000;Estabelecimento de Assistência a Saúde;Núcleo de Segurança do Paciente;;Instituição
99;NÃO INFORMADO / SEM INFORMAÇÃO;CLINICA UNIVISAO;UNIVISAO CONSULTAS LTDA;59273693000139;;04/16/2025 00:00:00.000000;Ambulatorio;Núcleo de Segurança do Paciente;;
99;NÃO INFORMADO / SEM INFORMAÇÃO;ENDOCURY;MARIA EMILIA GONCALVES CURY PEREIRA LTDA;32836501000107;8475040;08/03/2026 00:00:00.000000;Estabelecimento de Assistência a Saúde;Núcleo de Segurança do Paciente;;Instituição
99;NÃO INFORMADO / SEM INFORMAÇÃO;HOSPITAL ESPIRITA DE MARILIA;HOSPITAL ESPIRITA DE MARILIA;52050010000135;;08/13/2001 00:00:00.000000;Hospital;Núcleo de Segurança do Paciente;;
99;NÃO INFORMADO / SEM INFORMAÇÃO;INSTITUTO ALVES CENTRO CLINICO E ESTETICA;AESTHETIC ALVES LTDA;46424034000104;8458200;07/23/2026 00:00:00.000000;Ambulatorio;Núcleo de Segurança do Paciente;;
